,organizationId,platform,title,description,proposer,proposalCreatedAt,proposalNativeId,endedAt,status,totalVotes,choicesMappedToScores,proposalUrl,proposerProfilePageUrl
0,c6989d15-1342-41bf-b62d-5659c939657e,SNAPSHOT,title,body,0x8b8ea938a599d9cd63086e4126117b2d7036f338,2022-04-27T08:36:37.000Z,0x3c47f8a0b7187158720e1d0b927e85692beeaa3219a72a44af3718fde8daaff6,2023-04-21T08:36:30.000Z,ACTIVE,200,"{""1"":""["",""3"":"","",""4"":""0""}",https://deepdao.io/feed-proposal/0x3c47f8a0b7187158720e1d0b927e85692beeaa3219a72a44af3718fde8daaff6,https://deepdao.io/user/0x8b8ea938a599d9cd63086e4126117b2d7036f338/verified_dao_experience
1,be5f6bd8-4c65-4e96-b0eb-7e7ce6a64bf2,SNAPSHOT,"For the love of OHM and all things holy, PLEASE ADD A TOKEN MINIMUM TO POST PROPOSALS",thank you for your attention ,0x2cb07184e9186ffa56168bb980d0f9b389effa2e,2021-12-13T21:02:42.000Z,0x516809b924fab947b37939af88a708a9bf6ba9ee6dd6c9f1dbaa6680382a0f09,2024-07-12T16:00:00.000Z,ACTIVE,198,"{""420 ohm minimum"":""["",""4.20 ohm minmum"":""1"",""6.9 ohm minimum"":""3""}",https://deepdao.io/feed-proposal/0x516809b924fab947b37939af88a708a9bf6ba9ee6dd6c9f1dbaa6680382a0f09,https://deepdao.io/user/0x2cb07184e9186ffa56168bb980d0f9b389effa2e/verified_dao_experience
2,da9956dc-8a87-40c0-a066-b8991d67e574,SNAPSHOT,I want to buy an apartment in Moscow) Help me),"Forgive me please) I understand that this is not a question of the community of CAKE holders) Which I love very much) I have been dreaming for several years to buy an apartment in one of several unique historical houses in Moscow. I need a million dollars, but I can’t earn it yet) I will be glad if you can help) Forgive me if I wasted your time) Thank you very much, God bless you ) Peace to all!

0x47150580574152018af7B26fFEB25E9e303cbC5f



請原諒我）我知道這不是 CAKE 持有者社區的問題）我非常喜歡）多年來我一直夢想在莫斯科幾座獨特的歷史建築之一中購買一套公寓。 我需要一百萬美元，但我還不能賺到）如果你能幫忙，我會很高興）如果我浪費了你的時間，請原諒我）非常感謝你，上帝保佑你）祝大家平安！

0x47150580574152018af7B26fFEB25E9e303cbC5f



Простите меня пожалуйста) Я понимаю, что это не вопрос сообщества владельцев CAKE) Которое я очень люблю) Уже несколько лет мечтаю купить квартиру в одном из  уникальных исторических домов в Москве. Мне нужен миллион долларов, но я пока не могу его заработать) Буду рад, если вы поможете) Простите, если отнял у вас время) Спасибо большое, храни вас Бог) Мир всем!

0x47150580574152018af7B26fFEB25E9e303cbC5f



سامحني من فضلك) أفهم أن هذه ليست مسألة تخص مجتمع حاملي الكيك) التي أحبه كثيرًا) كنت أحلم منذ عدة سنوات بشراء شقة في أحد المنازل التاريخية العديدة الفريدة في موسكو. أحتاج إلى مليون دولار ، لكنني لا أستطيع كسبها بعد) سأكون سعيدًا إذا كنت تستطيع المساعدة) سامحني إذا ضيعت وقتك) شكرًا جزيلاً لك ، بارك الله فيك) السلام للجميع!

0x47150580574152018af7B26fFEB25E9e303cbC5f",0x47150580574152018af7b26ffeb25e9e303cbc5f,2022-03-24T19:12:55.000Z,QmaLFGDwHP14nV5wqLw9MXV4KoXjtyRCC7J8McqKMf2mmf,2023-12-30T17:00:00.000Z,ACTIVE,196,"{""yes"":""1""}",https://deepdao.io/feed-proposal/QmaLFGDwHP14nV5wqLw9MXV4KoXjtyRCC7J8McqKMf2mmf,https://deepdao.io/user/0x47150580574152018af7b26ffeb25e9e303cbc5f/verified_dao_experience
3,da9956dc-8a87-40c0-a066-b8991d67e574,SNAPSHOT,薄饼手续费是回购销毁好还是分红好？,,0x989c7d7efed00446e359b1fed07976ad20ca14d3,2021-11-19T07:38:21.000Z,0x49a72f9b0cb5cb6805a5d7391e257c29330d16aab9b70ad59bc4db5bebf890ae,2023-01-28T04:00:00.000Z,ACTIVE,195,"{""回购销毁"":""["",""分红"":""1""}",https://deepdao.io/feed-proposal/0x49a72f9b0cb5cb6805a5d7391e257c29330d16aab9b70ad59bc4db5bebf890ae,https://deepdao.io/user/0x989c7d7efed00446e359b1fed07976ad20ca14d3/verified_dao_experience
4,b8578b0f-e82f-4e1f-a22b-4203f3e30a38,SNAPSHOT,Do you want STAYREAL to cast NFT?,"You can choose yes or no.

We witnessed STAYREAL's blockchain journey together.",0x69e8e23eb2e61bc8449e02ced7075186dafbcfc1,2022-05-19T12:19:13.000Z,0xba9384cc8b49876852dadf58857b3c6e8bdf6baa65f5bf2d181d52679d9414ec,2022-12-31T04:00:00.000Z,ACTIVE,193,"{""YES"":""["",""NO"":""1""}",https://deepdao.io/feed-proposal/0xba9384cc8b49876852dadf58857b3c6e8bdf6baa65f5bf2d181d52679d9414ec,https://deepdao.io/user/0x69e8e23eb2e61bc8449e02ced7075186dafbcfc1/verified_dao_experience
5,42dff9c7-a4de-4d3e-a7b1-f4f8e41783c7,SNAPSHOT,请问目前最牛逼的国家是哪个？,认为中国最牛逼的选Yes,0x92059ae1034ab2be7d213663b5fcb987e138c11f,2022-05-08T10:22:31.000Z,0x66897fb94ab3e532258d472bbcec90c42939fab124bc86222ab178205433f50c,2023-03-31T10:00:00.000Z,ACTIVE,190,"{""Yes"":""["",""No"":""2""}",https://deepdao.io/feed-proposal/0x66897fb94ab3e532258d472bbcec90c42939fab124bc86222ab178205433f50c,https://deepdao.io/user/0x92059ae1034ab2be7d213663b5fcb987e138c11f/verified_dao_experience
6,da9956dc-8a87-40c0-a066-b8991d67e574,SNAPSHOT,"What is your preffered ""LockTime Staking)","As you know soon lovely FIXED TERM staking pool will lunch ! 

So tell me what is your preffered LOCED PERIOD OF TIME staking choose ?!
",0x390068fd83a5772d40d99f490088b12829c5aeea,2022-04-06T03:28:34.000Z,QmQC6a9pVDXFbTUgkaNBHCCoXeUd8ye6hVGSmZ3ypRHNs4,2023-04-05T19:30:00.000Z,ACTIVE,189,"{""10 Weeks (70 days)"":""["",""26 Weeks (182 days)"":""3"",""52 Weeks (364 days)"":""1""}",https://deepdao.io/feed-proposal/QmQC6a9pVDXFbTUgkaNBHCCoXeUd8ye6hVGSmZ3ypRHNs4,https://deepdao.io/user/0x390068fd83a5772d40d99f490088b12829c5aeea/verified_dao_experience
7,09de0c3e-825b-431e-b9b0-9eda757a432a,SNAPSHOT,Stay or Quit?,"due to current crypto dumping, many friends lost a lot of money.

will you still stay invest in crypto or quit？",0x6fdff7fd8e0b5a4b2f5892ae236b37487502cb01,2022-05-15T03:40:37.000Z,0x6a5a46b1d5915c1b6971d7b9f31b2456cf80f071d05cd550c9e2a403c09ee269,2022-12-31T12:00:00.000Z,ACTIVE,187,"{""Stay"":""["",""Quit"":""3""}",https://deepdao.io/feed-proposal/0x6a5a46b1d5915c1b6971d7b9f31b2456cf80f071d05cd550c9e2a403c09ee269,https://deepdao.io/user/0x6fdff7fd8e0b5a4b2f5892ae236b37487502cb01/verified_dao_experience
8,839dae4c-9129-4bfd-966d-5f3c1f713653,SNAPSHOT,matichuidao4meiyuanma?,,0x03d0f40f6f2fdf92cb56f9de9089c2a10adcf259,2021-12-09T02:52:02.000Z,0xc4b5e28c3ed7eef6739119037d64500990f5a2d56147d38416f997b6198f8e2b,2023-03-31T04:00:00.000Z,ACTIVE,184,"{""yes"":""["",""no"":""4""}",https://deepdao.io/feed-proposal/0xc4b5e28c3ed7eef6739119037d64500990f5a2d56147d38416f997b6198f8e2b,https://deepdao.io/user/0x03d0f40f6f2fdf92cb56f9de9089c2a10adcf259/verified_dao_experience
9,da9956dc-8a87-40c0-a066-b8991d67e574,SNAPSHOT,aid to ukraine,"Hello everyone, I live in Ukraine.
I want to help our people who are left without access to medicines, the money will go to buy them and distribute them for free.

0xf9F298418DB0014d538d7E163dEAff4310EAf957",0xf9f298418db0014d538d7e163deaff4310eaf957,2022-04-24T21:27:55.000Z,QmSKk9rKrQKTbxPVSkvMieXKzyuKbQdqBpnTUfjpJvL8Fv,2023-05-29T21:00:00.000Z,ACTIVE,184,"{""Thank you"":""["",""Appreciate your support"":""2""}",https://deepdao.io/feed-proposal/QmSKk9rKrQKTbxPVSkvMieXKzyuKbQdqBpnTUfjpJvL8Fv,https://deepdao.io/user/0xf9f298418db0014d538d7e163deaff4310eaf957/verified_dao_experience
10,da9956dc-8a87-40c0-a066-b8991d67e574,SNAPSHOT,Raising money for mom,"Hey guys, my mom needs help to build her house. Right now she lives in one room with two boys, dad isn't around and I'm trying to help her to build her new house to make life better. Can you all send $1 worth of BNB or CAKE each? It will add up and count. Thank you :)",0x13c85f57c7fd1be58c06e62f22a0cbc90751029e,2022-04-16T04:15:42.000Z,QmYdeeiKP57bJ7exhPMNWvGyWzHLbbMdME3BemR7GC6vzA,2022-12-31T05:00:00.000Z,ACTIVE,184,"{""Sent"":""["",""Sending now :)"":""1""}",https://deepdao.io/feed-proposal/QmYdeeiKP57bJ7exhPMNWvGyWzHLbbMdME3BemR7GC6vzA,https://deepdao.io/user/0x13c85f57c7fd1be58c06e62f22a0cbc90751029e/verified_dao_experience
