,type,treasuryAddress,deepDaoInsertedAt,chainId
0,liquid,0x005ca4f1493f451c1588186c570a434ec38e718d,2022-11-15,1
1,liquid,0x00952466aa572bb2b1d5330c758944049974a4eb,2021-12-06,1
2,liquid,0x015ed76723aaf0ef9960dd66631d2ecac77e4156,2021-12-06,1
3,liquid,0x016e79e9101a8eaa3e7f46d6d1c267819c09c939,2021-12-06,1
4,liquid,0x01e5b3f888967e205b36d056cd1633706050bd62,2021-12-06,1
5,liquid,0x042b32ac6b453485e357938bdc38e0340d4b9276,2022-03-09,1
6,liquid,0x072bb8c41fa42ee30822d8f33058a0731205ee5a,2022-09-15,1
7,liquid,0x07cec3217606c9204c763574848725b714f14985,2022-11-16,1
8,liquid,0x086b4ecd75c494dd36641195e89c25373e06d7cb,2022-05-08,1
9,liquid,0x08a61c799e05f983803f33696f5654a49e166d19,2022-11-15,1
10,liquid,0x09abbe423fedee2332caea4117093d7d9b017cf5,2022-11-22,1
11,liquid,0x0ad8757eae75e71b2c5e9d5188a78d39df92adf5#code,2022-11-15,56
12,liquid,0x0b8e6ba028d015a00d2fdb8d803ed0e582a3fb5d,2022-11-16,1
13,liquid,0x0b93ba560283350d4216f29dc57e15df38d0eace,2021-12-06,1
14,liquid,0x0bc3807ec262cb779b38d65b38158acc3bfede10,2021-12-06,1
15,liquid,0x0c4030768601a5b564fcd50ec5957d516b0f2ad4,2022-05-10,1
16,liquid,0x0Cb11b92Fa5C30eAfe4aE84B7BB4dF3034C38b9d,2022-10-10,137
17,liquid,0x0d5fcf0f72310953781bb8ec7fb90c96a4e191b7,2022-11-16,1
18,liquid,0x0da0c3e52c977ed3cbc641ff02dd271c3ed55afe,2021-12-06,1
19,liquid,0x0ec6290abb4714ba5f1371647894ce53c6dd673a,2022-05-17,1
20,liquid,0x0ed943ce24baebf257488771759f9bf482c39706,2022-11-22,56
21,liquid,0x0ef024d299cb56805f2437cd00b8a361a7b06d54,2021-12-06,1
22,liquid,0x0fa0f97a704e3212191d3ec7a72d94f262d92050,2022-08-08,1
23,liquid,0x107a369bc066c77ff061c7d2420618a6ce31b925,2021-12-06,1
24,liquid,0x10a19e7ee7d7f8a52822f6817de8ea18204f2e4f,2022-02-24,1
25,liquid,0x10c0b0da2a682c12bd36516a95cb8474c02d83de,2022-10-10,1
26,liquid,0x1175185e62db6cea2517d14297333a63908c0cac,2022-06-14,1
27,liquid,0x12267aefd8bb461817df348ce16c933e76c1aa0d,2022-06-28,1
28,liquid,0x144a98cb1cdbb23610501fe6108858d9b7d24934,2021-12-06,1
29,liquid,0x15344ecdc2c4edfcb092e284d93c20f0529fd8a6,2021-12-06,1
30,vesting,0x1590d91d651d7e06e7f77da87aec373a4a4b3c09,2022-09-14,1
31,liquid,0x163b12f2a214ce7b6d535beb51189d12fb47a43b,2021-12-06,1
32,liquid,0x1725dc66a5ca6f36e1d3d5b635bef45de0b753a1,2021-12-06,1
33,liquid,0x17eedfb0a6e6e06e95b3a1f928dc4024240bc76b,2022-02-24,1
34,vesting,0x194e25a03066408a5ba4bf275e6ba4f40e5e6c0a,2022-09-04,137
35,liquid,0x19762b3b0Fe9b4d4Bd16eFA242CD1f3bCD5fa57C,2022-08-10,1
36,liquid,0x19b3eb3af5d93b77a5619b047de0eed7115a19e7,2021-12-06,1
37,liquid,0x1a9c8182c09f50c8318d769245bea52c32be35bc,2021-12-06,1
38,liquid,0x1ba850cb53280d7f9987be283ff462038ec8abe2,2021-12-06,1
39,liquid,0x1cf0df2a5a20cd61d68d4489eebbf85b8d39e18a,2022-05-10,1
40,liquid,0x1f28ed9d4792a567dad779235c2b766ab84d8e33,2022-10-20,1
41,liquid,0x1fa013f243b3999bc668fc176c300c63e100a488,2021-12-06,1
42,liquid,0x2004cb1e8fb6d4476acdc9e1d37f717d3a83384d,2021-12-06,1
43,liquid,0x2009a752a50d3cde486d7b5921944377b729e747,2022-03-09,1
44,liquid,0x205cc7463267861002b27021c7108bc230603d0f,2021-12-06,1
45,liquid,0x20c7f2a24f33cf4f02d2d185e49ac7b1c975d37f,2022-11-04,1
46,liquid,0x211a94468ba1e379236b45ca42dc63ee93139c7e,2021-12-06,1
